data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
7789174,50,BGD19214,19214,"26 March 2021",2021,1,Riots,"Mob violence","Rioters (Bangladesh)","BNP: Bangladesh Nationalist Party",5,55,"South Asia",Bangladesh,Chittagong,Brahmanbaria,Sarail,Sarail,24.0632,91.109,1,"Prothom Alo",National,"On 26 March 2021, activists of two groups of BNP clashed with each other in Sarail (Brahmanbaria) in an incident of factional dispute over supremacy. At least 20 people including 10 policemen were injured. [size=no report]",0,1617139439,BGD
7789174,50,BGD19214,19214,"26 March 2021",2021,1,Riots,"Mob violence","Rioters (Bangladesh)","BNP: Bangladesh Nationalist Party",5,55,"South Asia",Bangladesh,Chittagong,Brahmanbaria,Sarail,Sarail,24.0632,91.109,1,"Prothom Alo",National,"On 26 March 2021, activists of two groups of BNP clashed with each other in Sarail (Brahmanbaria) in an incident of factional dispute over supremacy. At least 20 people including 10 policemen were injured. [size=no report]",0,1617139439,BGD
7788751,50,BGD19211,19211,"26 March 2021",2021,1,Riots,"Violent demonstration","Rioters (Bangladesh)","Muslim Group (Bangladesh); Students (Bangladesh)",5,50,"South Asia",Bangladesh,Chittagong,Brahmanbaria,Brahmanbaria,Brahmanbaria,23.9746,91.1123,1,"South Asia Terrorism Portal; Prothom Alo",Other-National,"On 26 March 2021, madrassa students vandalized and set afire the Brahmanbaria railway station (Brahmanbaria), while demonstrating against the visit of Indian prime minister in the country. While a person was killed during the mayhem, the rioters carried out vandalism and burnt tires in different parts of the city including in Vadughar area. [size=no report]",1,1617139438,BGD
7788752,50,BGD19212,19212,"26 March 2021",2021,1,Riots,"Violent demonstration","Rioters (Bangladesh)","Muslim Group (Bangladesh)",5,15,"South Asia",Bangladesh,Dhaka,Dhaka,Dhaka,"Dhaka - Paltan",23.7362,90.4142,1,"South Asia Terrorism Portal; New Age (Bangladesh); Prothom Alo; Dhaka Tribune",Other-National,"On 26 March 2021, a clash took place between police and a large number of activists of Islamic groups during a demonstration by the latter in front of Baitul Mukarram in Dhaka - Paltan (Dhaka), against the visit of Indian prime minister in the country. At least 80 people were injured. [size=large]",0,1617139438,BGD
7788752,50,BGD19212,19212,"26 March 2021",2021,1,Riots,"Violent demonstration","Police Forces of Bangladesh (2009-)",,1,15,"South Asia",Bangladesh,Dhaka,Dhaka,Dhaka,"Dhaka - Paltan",23.7362,90.4142,1,"South Asia Terrorism Portal; New Age (Bangladesh); Prothom Alo; Dhaka Tribune",Other-National,"On 26 March 2021, a clash took place between police and a large number of activists of Islamic groups during a demonstration by the latter in front of Baitul Mukarram in Dhaka - Paltan (Dhaka), against the visit of Indian prime minister in the country. At least 80 people were injured. [size=large]",0,1617139438,BGD
7788753,50,BGD19213,19213,"26 March 2021",2021,1,Riots,"Violent demonstration","Rioters (Bangladesh)","HeI: Hefazat-e-Islam Bangladesh; Muslim Group (Bangladesh); Students (Bangladesh)",5,15,"South Asia",Bangladesh,Chittagong,Chittagong,Hathazari,Hathazari,22.5052,91.8134,1,"United News of Bangladesh; Prothom Alo; South Asia Terrorism Portal",Other-National,"On 26 March 2021, a clash took place between police and Madrasa students as well as activists of Hefazat-e-Islam during a rally by the latter in Hathazari (Chittagong), against the visit of Indian prime minister in the country. While several people were injured in the clash, four people died of their injuries later. [size=no report]",4,1617139438,BGD
7788753,50,BGD19213,19213,"26 March 2021",2021,1,Riots,"Violent demonstration","Police Forces of Bangladesh (2009-)",,1,15,"South Asia",Bangladesh,Chittagong,Chittagong,Hathazari,Hathazari,22.5052,91.8134,1,"United News of Bangladesh; Prothom Alo; South Asia Terrorism Portal",Other-National,"On 26 March 2021, a clash took place between police and Madrasa students as well as activists of Hefazat-e-Islam during a rally by the latter in Hathazari (Chittagong), against the visit of Indian prime minister in the country. While several people were injured in the clash, four people died of their injuries later. [size=no report]",4,1617139438,BGD
7789117,50,BGD19205,19205,"25 March 2021",2021,1,Riots,"Mob violence","Rioters (Bangladesh)","BCL: Bangladesh Chhatra League; Students (Bangladesh)",5,57,"South Asia",Bangladesh,Dhaka,Dhaka,Dhaka,Dhaka,23.7104,90.4074,1,"New Age (Bangladesh)",National,"On 25 March 2021, leaders and activists of Bangladesh Chhatra League allegedly attacked and injured a journalist at Dhaka university campus (Dhaka), while he was covering an event in the campus. [size=no report]",0,1617139438,BGD
7789117,50,BGD19205,19205,"25 March 2021",2021,1,Riots,"Mob violence","Civilians (Bangladesh)","Journalists (Bangladesh)",7,57,"South Asia",Bangladesh,Dhaka,Dhaka,Dhaka,Dhaka,23.7104,90.4074,1,"New Age (Bangladesh)",National,"On 25 March 2021, leaders and activists of Bangladesh Chhatra League allegedly attacked and injured a journalist at Dhaka university campus (Dhaka), while he was covering an event in the campus. [size=no report]",0,1617139438,BGD
7789173,50,BGD19209,19209,"25 March 2021",2021,1,Protests,"Peaceful protest","Protesters (Bangladesh)","Labour Group (Bangladesh)",6,60,"South Asia",Bangladesh,Dhaka,Dhaka,Dhamrai,Dhamrai,23.924,90.2114,1,"Prothom Alo",National,"On 25 March 2021, a group of garment workers blocked the Dhaka-Aricha highway and staged demonstration at Dhamrai (Dhaka), demanding payment of their arrear wages. [size=no report]",0,1617139439,BGD
