year,station,month,rainfall,stationindex,rain,sdrain,rainsd,period,rain3sd,latitude,longitude,_merge
2000,Ambagan_ctg,11,15,1,3235,294.90668,575.89478,1998,275.11401,22.35,91.816597,matched (3)
2000,Ambagan_ctg,1,34,1,3235,294.90668,575.89478,1998,275.11401,22.35,91.816597,matched (3)
2000,Ambagan_ctg,9,165,1,3235,294.90668,575.89478,1998,275.11401,22.35,91.816597,matched (3)
2000,Ambagan_ctg,8,564,1,3235,294.90668,575.89478,1998,275.11401,22.35,91.816597,matched (3)
2000,Ambagan_ctg,2,10,1,3235,294.90668,575.89478,1998,275.11401,22.35,91.816597,matched (3)
2000,Ambagan_ctg,3,46,1,3235,294.90668,575.89478,1998,275.11401,22.35,91.816597,matched (3)
2000,Ambagan_ctg,12,0,1,3235,294.90668,575.89478,1998,275.11401,22.35,91.816597,matched (3)
2000,Ambagan_ctg,6,622,1,3235,294.90668,575.89478,1998,275.11401,22.35,91.816597,matched (3)
2000,Ambagan_ctg,5,464,1,3235,294.90668,575.89478,1998,275.11401,22.35,91.816597,matched (3)
2000,Ambagan_ctg,10,488,1,3235,294.90668,575.89478,1998,275.11401,22.35,91.816597,matched (3)
2000,Ambagan_ctg,4,119,1,3235,294.90668,575.89478,1998,275.11401,22.35,91.816597,matched (3)
2000,Ambagan_ctg,7,708,1,3235,294.90668,575.89478,1998,275.11401,22.35,91.816597,matched (3)
2001,Ambagan_ctg,6,601,1,2288,294.90668,575.89478,2001,266.40283,22.35,91.816597,matched (3)
2001,Ambagan_ctg,12,0,1,2288,294.90668,575.89478,2001,266.40283,22.35,91.816597,matched (3)
2001,Ambagan_ctg,9,226,1,2288,294.90668,575.89478,2001,266.40283,22.35,91.816597,matched (3)
2001,Ambagan_ctg,5,461,1,2288,294.90668,575.89478,2001,266.40283,22.35,91.816597,matched (3)
2001,Ambagan_ctg,3,8,1,2288,294.90668,575.89478,2001,266.40283,22.35,91.816597,matched (3)
2001,Ambagan_ctg,10,242,1,2288,294.90668,575.89478,2001,266.40283,22.35,91.816597,matched (3)
2001,Ambagan_ctg,4,40,1,2288,294.90668,575.89478,2001,266.40283,22.35,91.816597,matched (3)
2001,Ambagan_ctg,8,237,1,2288,294.90668,575.89478,2001,266.40283,22.35,91.816597,matched (3)
2001,Ambagan_ctg,7,385,1,2288,294.90668,575.89478,2001,266.40283,22.35,91.816597,matched (3)
2001,Ambagan_ctg,1,0,1,2288,294.90668,575.89478,2001,266.40283,22.35,91.816597,matched (3)
2001,Ambagan_ctg,2,7,1,2288,294.90668,575.89478,2001,266.40283,22.35,91.816597,matched (3)
2001,Ambagan_ctg,11,81,1,2288,294.90668,575.89478,2001,266.40283,22.35,91.816597,matched (3)
2002,Ambagan_ctg,3,70,1,2764,294.90668,575.89478,2001,266.40283,22.35,91.816597,matched (3)
2002,Ambagan_ctg,7,920,1,2764,294.90668,575.89478,2001,266.40283,22.35,91.816597,matched (3)
2002,Ambagan_ctg,11,128,1,2764,294.90668,575.89478,2001,266.40283,22.35,91.816597,matched (3)
2002,Ambagan_ctg,9,145,1,2764,294.90668,575.89478,2001,266.40283,22.35,91.816597,matched (3)
2002,Ambagan_ctg,1,1,1,2764,294.90668,575.89478,2001,266.40283,22.35,91.816597,matched (3)
2002,Ambagan_ctg,6,374,1,2764,294.90668,575.89478,2001,266.40283,22.35,91.816597,matched (3)
2002,Ambagan_ctg,8,456,1,2764,294.90668,575.89478,2001,266.40283,22.35,91.816597,matched (3)
2002,Ambagan_ctg,10,128,1,2764,294.90668,575.89478,2001,266.40283,22.35,91.816597,matched (3)
2002,Ambagan_ctg,12,10,1,2764,294.90668,575.89478,2001,266.40283,22.35,91.816597,matched (3)
2002,Ambagan_ctg,4,79,1,2764,294.90668,575.89478,2001,266.40283,22.35,91.816597,matched (3)
2002,Ambagan_ctg,2,0,1,2764,294.90668,575.89478,2001,266.40283,22.35,91.816597,matched (3)
2002,Ambagan_ctg,5,453,1,2764,294.90668,575.89478,2001,266.40283,22.35,91.816597,matched (3)
2003,Ambagan_ctg,8,260,1,2696,294.90668,575.89478,2001,266.40283,22.35,91.816597,matched (3)
2003,Ambagan_ctg,2,0,1,2696,294.90668,575.89478,2001,266.40283,22.35,91.816597,matched (3)
2003,Ambagan_ctg,6,1209,1,2696,294.90668,575.89478,2001,266.40283,22.35,91.816597,matched (3)
2003,Ambagan_ctg,11,0,1,2696,294.90668,575.89478,2001,266.40283,22.35,91.816597,matched (3)
2003,Ambagan_ctg,3,53,1,2696,294.90668,575.89478,2001,266.40283,22.35,91.816597,matched (3)
2003,Ambagan_ctg,9,210,1,2696,294.90668,575.89478,2001,266.40283,22.35,91.816597,matched (3)
2003,Ambagan_ctg,5,198,1,2696,294.90668,575.89478,2001,266.40283,22.35,91.816597,matched (3)
2003,Ambagan_ctg,10,234,1,2696,294.90668,575.89478,2001,266.40283,22.35,91.816597,matched (3)
2003,Ambagan_ctg,12,66,1,2696,294.90668,575.89478,2001,266.40283,22.35,91.816597,matched (3)
2003,Ambagan_ctg,4,170,1,2696,294.90668,575.89478,2001,266.40283,22.35,91.816597,matched (3)
2003,Ambagan_ctg,7,296,1,2696,294.90668,575.89478,2001,266.40283,22.35,91.816597,matched (3)
2003,Ambagan_ctg,1,0,1,2696,294.90668,575.89478,2001,266.40283,22.35,91.816597,matched (3)
2004,Ambagan_ctg,12,0,1,2924,294.90668,575.89478,2004,264.34262,22.35,91.816597,matched (3)
2004,Ambagan_ctg,6,638,1,2924,294.90668,575.89478,2004,264.34262,22.35,91.816597,matched (3)
2004,Ambagan_ctg,7,905,1,2924,294.90668,575.89478,2004,264.34262,22.35,91.816597,matched (3)
2004,Ambagan_ctg,1,0,1,2924,294.90668,575.89478,2004,264.34262,22.35,91.816597,matched (3)
2004,Ambagan_ctg,8,142,1,2924,294.90668,575.89478,2004,264.34262,22.35,91.816597,matched (3)
2004,Ambagan_ctg,9,590,1,2924,294.90668,575.89478,2004,264.34262,22.35,91.816597,matched (3)
2004,Ambagan_ctg,5,275,1,2924,294.90668,575.89478,2004,264.34262,22.35,91.816597,matched (3)
2004,Ambagan_ctg,2,0,1,2924,294.90668,575.89478,2004,264.34262,22.35,91.816597,matched (3)
2004,Ambagan_ctg,4,165,1,2924,294.90668,575.89478,2004,264.34262,22.35,91.816597,matched (3)
2004,Ambagan_ctg,10,203,1,2924,294.90668,575.89478,2004,264.34262,22.35,91.816597,matched (3)
2004,Ambagan_ctg,3,6,1,2924,294.90668,575.89478,2004,264.34262,22.35,91.816597,matched (3)
2004,Ambagan_ctg,11,0,1,2924,294.90668,575.89478,2004,264.34262,22.35,91.816597,matched (3)
2005,Ambagan_ctg,9,386,1,2331,294.90668,575.89478,2004,264.34262,22.35,91.816597,matched (3)
2005,Ambagan_ctg,3,57,1,2331,294.90668,575.89478,2004,264.34262,22.35,91.816597,matched (3)
2005,Ambagan_ctg,6,233,1,2331,294.90668,575.89478,2004,264.34262,22.35,91.816597,matched (3)
2005,Ambagan_ctg,10,100,1,2331,294.90668,575.89478,2004,264.34262,22.35,91.816597,matched (3)
2005,Ambagan_ctg,11,23,1,2331,294.90668,575.89478,2004,264.34262,22.35,91.816597,matched (3)
2005,Ambagan_ctg,12,8,1,2331,294.90668,575.89478,2004,264.34262,22.35,91.816597,matched (3)
2005,Ambagan_ctg,4,121,1,2331,294.90668,575.89478,2004,264.34262,22.35,91.816597,matched (3)
2005,Ambagan_ctg,1,5,1,2331,294.90668,575.89478,2004,264.34262,22.35,91.816597,matched (3)
2005,Ambagan_ctg,8,654,1,2331,294.90668,575.89478,2004,264.34262,22.35,91.816597,matched (3)
2005,Ambagan_ctg,2,0,1,2331,294.90668,575.89478,2004,264.34262,22.35,91.816597,matched (3)
2005,Ambagan_ctg,5,148,1,2331,294.90668,575.89478,2004,264.34262,22.35,91.816597,matched (3)
2005,Ambagan_ctg,7,596,1,2331,294.90668,575.89478,2004,264.34262,22.35,91.816597,matched (3)
2006,Ambagan_ctg,1,0,1,2375,294.90668,575.89478,2004,264.34262,22.35,91.816597,matched (3)
2006,Ambagan_ctg,4,50,1,2375,294.90668,575.89478,2004,264.34262,22.35,91.816597,matched (3)
2006,Ambagan_ctg,8,138,1,2375,294.90668,575.89478,2004,264.34262,22.35,91.816597,matched (3)
2006,Ambagan_ctg,2,0,1,2375,294.90668,575.89478,2004,264.34262,22.35,91.816597,matched (3)
2006,Ambagan_ctg,6,288,1,2375,294.90668,575.89478,2004,264.34262,22.35,91.816597,matched (3)
2006,Ambagan_ctg,12,0,1,2375,294.90668,575.89478,2004,264.34262,22.35,91.816597,matched (3)
2006,Ambagan_ctg,7,495,1,2375,294.90668,575.89478,2004,264.34262,22.35,91.816597,matched (3)
2006,Ambagan_ctg,9,438,1,2375,294.90668,575.89478,2004,264.34262,22.35,91.816597,matched (3)
2006,Ambagan_ctg,10,91,1,2375,294.90668,575.89478,2004,264.34262,22.35,91.816597,matched (3)
2006,Ambagan_ctg,3,0,1,2375,294.90668,575.89478,2004,264.34262,22.35,91.816597,matched (3)
2006,Ambagan_ctg,11,16,1,2375,294.90668,575.89478,2004,264.34262,22.35,91.816597,matched (3)
